short_description,category
brightwheel/transfer,Revenue: Tuition
abcd ccb, Revenue: Vouchers
massachusetts de/dividend, Revenue: EEC Grants

procare software,Operating Expenses: General & Administrative
himama,Operating Expenses: General & Administrative
lillio,Operating Expenses: General & Administrative
kinderlime,Operating Expenses: General & Administrative

scholastic books,Operating Expenses: Supplies & Equipment
lakeshore learning,Operating Expenses: Supplies & Equipment
kaplan early learning,Operating Expenses: Supplies & Equipment
discount school supply,Operating Expenses: Supplies & Equipment
teaching strategies,Operating Expenses: Supplies & Equipment
learning without tears,Operating Expenses: Supplies & Equipment
riverside insights,Operating Expenses: Supplies & Equipment
really good stuff,Operating Expenses: Supplies & Equipment

crib mattress,Investing Activities: Furniture Fixtures & Equipment
changing table,Investing Activities: Furniture Fixtures & Equipment
child size table,Investing Activities: Furniture Fixtures & Equipment
child size chair,Investing Activities: Furniture Fixtures & Equipment
nap mat,Investing Activities: Furniture Fixtures & Equipment
play equipment,Investing Activities: Furniture Fixtures & Equipment
playground equipment,Investing Activities: Furniture Fixtures & Equipment
safety gate,Investing Activities: Furniture Fixtures & Equipment
high chair,Investing Activities: Furniture Fixtures & Equipment

food supplier child,Cost of Sales: Food
meal delivery,Cost of Sales: Food
child nutrition,Cost of Sales: Food
snack service,Cost of Sales: Food

cpr training,Operating Expenses: Staff Development
first aid training,Operating Expenses: Staff Development
early childhood training,Operating Expenses: Staff Development
childcare certification,Operating Expenses: Staff Development
teacher training,Operating Expenses: Staff Development
staff development,Operating Expenses: Staff Development

